course,Latitude,Longitude
GARDEN CITY G.C.,40.7257,-73.6432
WINGED FOOT G.C. (East),40.9595,-73.7545
MEDINAH C.C. (No. 3),41.9665,-88.048044
WHISPERING PINES G.C.,30.945786,-95.25021
SHOREACRES,42.298417,-87.840612
MONTEREY PENINSULA C.C. (Shore),36.603455,-121.948617
SCIOTO C.C.,40.007474,-83.075207
INTERLACHEN C.C.,44.915414,-93.380033
OLD SANDWICH G.C.,41.904963,-70.606797
OAK TREE NATIONAL,35.719808,-97.505376
BALTUSROL G.C. (Upper),40.705222,-74.327968
CANYATA G.C.,39.469871,-87.683776
SOMERSET HILLS C.C.,40.723527,-74.588352
PETE DYE G.C.,39.710179,-80.302832
DALLAS NATIONAL G.C.,32.733711,-96.903139
KINLOCH G.C.,37.636181,-77.687369
MAIDSTONE CLUB,40.951797,-72.174592
ARCADIA BLUFFS G.C.,44.456862,-86.242552
BANDON TRAILS,43.185068,-124.391088
THE ESTANCIA CLUB,33.73817,-111.865178
QUAKER RIDGE G.C.,40.965935,-73.761651
CHERRY HILLS C.C.,39.643128,-104.962483
ESSEX COUNTY CLUB,42.584048,-70.763529
MILWAUKEE C.C.,43.166821,-87.941941
OLYMPIA FIELDS C.C. (North),41.52197,-87.685463
MYOPIA HUNT CLUB,42.609401,-70.858082
THE QUARRY AT LA QUINTA,33.624565,-116.274267
KITTANSETT CLUB,41.677727,-70.717343
MONTEREY PENINSULA C.C. (Dunes),36.601777,-121.948335
CONGRESSIONAL C.C. (Blue),38.996438,-77.176478
HUDSON NATIONAL G.C.,41.220223,-73.900734
PLAINFIELD C.C.,40.594661,-74.389916
CALUSA PINES G.C.,26.258963,-81.671666
VALHALLA G.C.,38.242849,-85.472042
ARONIMINK G.C.,40.011816,-75.409086
THE VALLEY CLUB OF MONTECITO,34.43327,-119.615318
BOSTON G.C.,42.193373,-70.89778
INVERNESS CLUB,41.742691,-83.643563
SLEEPY HOLLOW C.C,41.124194,-73.861501
DIAMOND CREEK G.C.,36.15275,-81.835581
THE G.C. AT BLACK ROCK,47.511562,-116.87041
DOUBLE EAGLE CLUB,40.24345,-82.949656
SPRING HILL G.C.,44.997298,-93.540912
RICH HARVEST LINKS,41.753862,-88.486464
YEAMANS HALL CLUB,32.926513,-79.977907
THE PRESERVE G.C.,36.534669,-121.868539
BLACKWOLF RUN (River),43.727082,-87.775916
OLD TOWN CLUB,36.124647,-80.271688
CROOKED STICK G.C.,39.946528,-86.193029
MAYACAMA G.C.,38.528184,-122.733709
