Rank,Course Name,Caption,Latitude,Longitude
1,PINE VALLEY G.C.,"7,181 yards, Par 70 / Points: 72.0078 
Pine Valley, N.J. / George Crump & H.S. Colt (1918) / Tom Fazio (2017)    

More about this course →",39.792235,-74.972227
2,AUGUSTA NATIONAL G.C.,"7,435 yards, Par 72 / Points: 71.5810Augusta, Ga. / Alister MacKenzie & Bobby Jones (1933) / Tom Fazio (2018)

More about this course →",33.502354,-82.022577
3,CYPRESS POINT CLUB,"6,524 yards, Par 72 / Points: 69.6830 Alister MacKenzie & Robert Hunter (1929) / Jeff Markow (2004)

More about this course →",36.580509,-121.974148
4,SHINNECOCK HILLS G.C.,"7,445 yards, Par 70 / Points: 69.2526William Flynn (1931) / Bill Coore & Ben Crenshaw (2012)

More about this course →",40.894252,-72.439777
5,OAKMONT C.C.,"7,255 Yards, Par 71 / Points: 68.9218Oakmont, Pa.
Henry Fownes (1903) / Tom Fazio (2014)

More about this course →",40.526148,-79.82686899999999
6,MERION G.C. (East),"6,996 Yards, Par 70 / Points: 67.8860Hugh Wilson (1912) / Gil Hanse (2018)

More about this course →",40.002115,-75.311825
7,PEBBLE BEACH G. LINKS,"6,828 yards, Par 72 / Points:  67.5261Jack Neville & Douglas Grant (1919) / Arnold Palmer & Thad Layton (2016)

More about this course →",36.569888,-121.949766
8,NATIONAL G. LINKS OF AMERICA,"6,935 Yards, Par 72 / Points: 67.3855Southampton, N.Y.  / C.B. Macdonald (1911) / Karl Olson (1994)

More about this course →",40.915639,-72.449685
9,SAND HILLS G.C.,"7,089 Yards, Par 71 / 66.3549Bill Coore & Ben Crenshaw (1995)

More about this course →",41.855487,-101.092794
10,FISHERS ISLAND CLUB,"6,615 Yards, Par 70 / 66.1937
Fishers Island, N.Y.  / Seth Raynor & Charles Banks (1926) / Gil Hanse (2000)

More about this course → ",41.280167999999996,-71.948782
11,WINGED FOOT G.C. (West),"7,426 Yards, Par 72 / Points: 66.1885Mamaroneck, N.Y. / A.W. Tillinghast (1923) / Gil Hanse (2017)

More about this course → ",40.957914,-73.753538
12,SEMINOLE G.C.,"6,836 Yards, Par	72	/ Points: 65.9329
Juno Beach, Fla. / Donald Ross (1929) / Bill Coore & Ben Crenshaw (2017)

More about this course →",26.860346000000003,-80.04735
13,CRYSTAL DOWNS C.C.,"6,560 Yards, Par 70 / Points: 65.6377 
Frankfort, Mich. / Alister MacKenzie & Perry Maxwell (1931) / Tom Doak (2018)

More about this course → ",44.702604,-86.23465300000001
14,CHICAGO G.C.,"6,877 Yards, Par 70 / 65.5659 
Wheaton, Ill. / C.B. Macdonald (1894)/Seth Raynor (1922)/Tom Doak (2002)

More about this course → ",41.849607,-88.115714
15,FRIAR'S HEAD G.C.,"7,071 Yards, Par 71 / Points: 65.2092
Baiting Hollow, N.Y.  / Bill Coore & Ben Crenshaw (2002)

More about this course →",40.965569,-72.725673
16,MUIRFIELD VILLAGE G.C.,"7,392 Yards, Par	72	/ Points: 65.2030Dublin, Ohio / Jack Nicklaus & Desmond Muirhead (1974) / Jack Nicklaus (2015)

More about this course → ",40.140718,-83.14094399999999
17,PACIFIC DUNES,"6,633 Yards, Par	71/ Points: 64.9775 
Bandon, Ore. / Tom Doak (2001) 

More about this course →",43.193806,124.389921
18,THE COUNTRY CLUB (Clyde/Squirrel),"6,753 Yards, Par	70	/ Points: 64.9361
Chestnut Hill, Mass. / Willie Campbell (1895) / Alex Campbell (1902) / Gil Hanse (2012)

More about this course → ",42.315031,-71.147826
19,LOS ANGELES C.C. (North),"7,530 Yards, Par	71	/ Points: 64.7659 
Los Angeles / George C. Thomas Jr. (1921)/Gil Hanse, Geoff Shackelford & Jim Wagner (2010)

More about this course →",34.071313,-118.423381
20,OAKLAND HILLS C.C. (South),"7,445 Yards, Par 72 / 64.7535Bloomfield Hills, Mich. / Donald Ross (1917) / Rees Jones (2006)

More about this course →",42.545085,-83.277016
21,WHISTLING STRAITS (Straits),"7,790 Yards, Par	72	/ Points: 64.6465 
Haven, Wis. / Pete Dye (1998)

More about this course →",43.851259000000006,-87.73513100000001
22,OAK HILL C.C. (East),"7,152 Yards, Par 70 /  Points: 64.6417Rochester, N.Y. / Donald Ross (1925) / Tom Fazio (2010)

More about this course → ",43.113044,-77.532834
23,RIVIERA C.C.,"7,040 Yards, Par	71 / Points: 64.5878Pacific Palisades, Calif.  / George C. Thomas Jr. & W.P. Bell (1926) / Tom Fazio (2012)

More about this course →",34.050069,-118.501323
24,THE OCEAN COURSE,"7,356 Yards, Par	72	/ Points: 64.5348
Kiawah Island, S.C. / Pete Dye & Alice Dye (1991) / Pete Dye (2011)

More about this course →",32.640882,-80.02986899999999
25,WADE HAMPTON G.C.,"7,395 Yards, Par 72 / Points: 64.4646Cashiers, N.C. / Tom Fazio (1987) / Tom Fazio (2018)

More about this course →",35.090405,-83.07496
